Wetland,Wetland_Code,Cluster,Figure14_Category,Figure14_Cell_Label,Sample_N_city_year,Regional_TWFE_significant_terms_p_lt_0_10,Regional_TWFE_significant_negative_terms_p_lt_0_10,Cluster_SHAP_top3,Cluster_partial_effect_top3_by_elasticity,Wetland_GMM_lag_status,Wetland_GMM_lag_coef,Wetland_GMM_lag_p_value,Evidence_Support_Grade,Evidence_Notes
Salt Marsh,Salt_Marsh,BBG,Medium,Economy + precipitation,154.0,none at p<0.10,none at p<0.10,"Mean temperature (Climate, mean|SHAP|=0.2877); Urban area (Urbanization, mean|SHAP|=0.2252); Cropland (Agriculture, mean|SHAP|=0.2213)","Urban area (Urbanization, elasticity=0.949, range=13.9 km2); Cropland (Agriculture, elasticity=0.446, range=6.56 km2); Population density (Population, elasticity=0.126, range=1.86 km2)",not available,,,weak direct quantitative support,no significant negative regional TWFE association at p<0.10 | top SHAP groups do not clearly overlap with significant negative TWFE groups | GMM persistence is not significant/unstable for this wetland
Salt Marsh,Salt_Marsh,BYS,High,Climate-sensitive frontier,374.0,none at p<0.10,none at p<0.10,"Total population (Population, mean|SHAP|=0.2881); Mean temperature (Climate, mean|SHAP|=0.2447); Urban area (Urbanization, mean|SHAP|=0.2372)","Mean temperature (Climate, elasticity=1.9, range=3.46 km2); GDP per capita (Economy, elasticity=1.42, range=2.59 km2); Urban area (Urbanization, elasticity=0.818, range=1.49 km2)",not available,,,weak direct quantitative support,no significant negative regional TWFE association at p<0.10 | top SHAP groups do not clearly overlap with significant negative TWFE groups | GMM persistence is not significant/unstable for this wetland
Salt Marsh,Salt_Marsh,HX,Medium,Population + urbanization,198.0,none at p<0.10,none at p<0.10,"Population density (Population, mean|SHAP|=0.4978); Cropland (Agriculture, mean|SHAP|=0.3628); Urban area (Urbanization, mean|SHAP|=0.2627)","Population density (Population, elasticity=4.09, range=13.4 km2); Urban area (Urbanization, elasticity=0.785, range=2.57 km2); Cropland (Agriculture, elasticity=0.535, range=1.75 km2)",not available,,,weak direct quantitative support,no significant negative regional TWFE association at p<0.10 | top SHAP groups do not clearly overlap with significant negative TWFE groups | GMM persistence is not significant/unstable for this wetland
Salt Marsh,Salt_Marsh,PRD,Insufficient,Variable decoupling,198.0,none at p<0.10,none at p<0.10,"Cropland (Agriculture, mean|SHAP|=0.467); Impervious surface (Urbanization, mean|SHAP|=0.1253); Urban area (Urbanization, mean|SHAP|=0.1195)","Cropland (Agriculture, elasticity=13.8, range=14.3 km2); Urban area (Urbanization, elasticity=1.41, range=1.46 km2); Impervious surface (Urbanization, elasticity=1.29, range=1.33 km2)",not available,,,cautionary/interpretive,no significant negative regional TWFE association at p<0.10 | top SHAP groups do not clearly overlap with significant negative TWFE groups | GMM persistence is not significant/unstable for this wetland | original figure flags evidence/data limitation; retain as caution rather than risk estimate
Salt Marsh,Salt_Marsh,YRD,Medium,Population pressure,242.0,none at p<0.10,none at p<0.10,"Urban area (Urbanization, mean|SHAP|=0.3101); Cropland (Agriculture, mean|SHAP|=0.2084); Impervious surface (Urbanization, mean|SHAP|=0.1901)","Urban area (Urbanization, elasticity=0.713, range=3.98 km2); Population density (Population, elasticity=0.66, range=3.68 km2); Cropland (Agriculture, elasticity=0.66, range=3.68 km2)",not available,,,weak direct quantitative support,no significant negative regional TWFE association at p<0.10 | top SHAP groups do not clearly overlap with significant negative TWFE groups | GMM persistence is not significant/unstable for this wetland
Marsh,Marsh,BBG,High,All-dimensional pressure,154.0,GDP per capita -5.8e-06 (p=2.44e-07); Cropland 0.0002234 (p=6.08e-06); Total population -7.009e-07 (p=0.000109); Secondary GDP share 0.01153 (p=0.000587); Precipitation -0.0001772 (p=0.000924); Population density 0.006238 (p=0.0123); Impervious surface 0.001012 (p=0.0159); Mean temperature -0.1475 (p=0.0279); Urban area 0.002993 (p=0.0485),GDP per capita -5.8e-06 (p=2.44e-07); Total population -7.009e-07 (p=0.000109); Precipitation -0.0001772 (p=0.000924); Mean temperature -0.1475 (p=0.0279),"Urban area (Urbanization, mean|SHAP|=0.4712); Cropland (Agriculture, mean|SHAP|=0.1544); Night-time lights (Urbanization, mean|SHAP|=0.05032)","Urban area (Urbanization, elasticity=3.37, range=64.7 km2); Cropland (Agriculture, elasticity=0.483, range=9.28 km2); Impervious surface (Urbanization, elasticity=0.312, range=5.99 km2)",significant positive persistence,1.3073,0.0205,moderate support,regional TWFE has at least one significant negative association | top SHAP groups do not clearly overlap with significant negative TWFE groups | wetland-level GMM suggests positive persistence/path dependence
Marsh,Marsh,BYS,Insufficient,Unclear key variables,374.0,Precipitation -0.0005239 (p=0.000509); Night-time lights -0.03322 (p=0.0339),Precipitation -0.0005239 (p=0.000509); Night-time lights -0.03322 (p=0.0339),"Urban area (Urbanization, mean|SHAP|=0.3706); Total population (Population, mean|SHAP|=0.2424); Impervious surface (Urbanization, mean|SHAP|=0.122)","Urban area (Urbanization, elasticity=3.74, range=170 km2); Total population (Population, elasticity=1.37, range=62.3 km2); Cropland (Agriculture, elasticity=0.822, range=37.4 km2)",significant positive persistence,1.3073,0.0205,cautionary/interpretive,regional TWFE has at least one significant negative association | negative TWFE group overlaps with cluster top-3 SHAP group(s): Urbanization | wetland-level GMM suggests positive persistence/path dependence | original figure flags evidence/data limitation; retain as caution rather than risk estimate
Marsh,Marsh,HX,Medium,Urbanization + precipitation,198.0,GDP per capita -3.876e-06 (p=0.0116); Urban area 0.002621 (p=0.013); Precipitation 0.0002324 (p=0.0704); Secondary GDP share -0.005743 (p=0.0737),GDP per capita -3.876e-06 (p=0.0116); Secondary GDP share -0.005743 (p=0.0737),"Cropland (Agriculture, mean|SHAP|=0.3705); Population density (Population, mean|SHAP|=0.1204); Urban area (Urbanization, mean|SHAP|=0.1131)","Cropland (Agriculture, elasticity=0.654, range=10.6 km2); Population density (Population, elasticity=0.461, range=7.49 km2); Urban area (Urbanization, elasticity=0.375, range=6.09 km2)",significant positive persistence,1.3073,0.0205,moderate support,regional TWFE has at least one significant negative association | top SHAP groups do not clearly overlap with significant negative TWFE groups | wetland-level GMM suggests positive persistence/path dependence
Marsh,Marsh,PRD,Medium,Population + cropland,198.0,Population density -0.0005873 (p=0); Cropland -0.0008995 (p=5.8e-09); Total population 1.537e-07 (p=2.13e-07); Impervious surface -0.001587 (p=0.00302); GDP per capita 2.405e-06 (p=0.0112); Night-time lights -0.0115 (p=0.0271); Evaporation 0.0008334 (p=0.0321),Population density -0.0005873 (p=0); Cropland -0.0008995 (p=5.8e-09); Impervious surface -0.001587 (p=0.00302); Night-time lights -0.0115 (p=0.0271),"Population density (Population, mean|SHAP|=0.4293); Cropland (Agriculture, mean|SHAP|=0.1872); Urban area (Urbanization, mean|SHAP|=0.06875)","Cropland (Agriculture, elasticity=1.16, range=30.4 km2); Population density (Population, elasticity=0.645, range=16.9 km2); Urban area (Urbanization, elasticity=0.342, range=8.97 km2)",significant positive persistence,1.3073,0.0205,strong multi-source support,"regional TWFE has at least one significant negative association | negative TWFE group overlaps with cluster top-3 SHAP group(s): Agriculture, Population, Urbanization | wetland-level GMM suggests positive persistence/path dependence"
Marsh,Marsh,YRD,High,Hydrological disruption,242.0,Precipitation -0.0001036 (p=0.077),Precipitation -0.0001036 (p=0.077),"Cropland (Agriculture, mean|SHAP|=0.3645); Mean temperature (Climate, mean|SHAP|=0.2258); Population density (Population, mean|SHAP|=0.1736)","Mean temperature (Climate, elasticity=0.987, range=21.4 km2); Population density (Population, elasticity=0.709, range=15.4 km2); Cropland (Agriculture, elasticity=0.553, range=12 km2)",significant positive persistence,1.3073,0.0205,strong multi-source support,regional TWFE has at least one significant negative association | negative TWFE group overlaps with cluster top-3 SHAP group(s): Climate | wetland-level GMM suggests positive persistence/path dependence
