contract_id,contract_version,source_sha256,year,city,cluster,wetland,value,scale,method
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2002,Fangchenggang,BBG,Mangrove,8.70925629375764,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2003,Fangchenggang,BBG,Mangrove,9.68445887923175,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2004,Fangchenggang,BBG,Mangrove,10.7780415245826,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2005,Fangchenggang,BBG,Mangrove,11.1184892507583,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2006,Fangchenggang,BBG,Mangrove,10.9435546599495,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2007,Fangchenggang,BBG,Mangrove,11.3185615438304,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2008,Fangchenggang,BBG,Mangrove,11.417059268099,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2009,Fangchenggang,BBG,Mangrove,11.6418203483073,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2010,Fangchenggang,BBG,Mangrove,11.6197988899816,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2011,Fangchenggang,BBG,Mangrove,11.3191128977597,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2012,Fangchenggang,BBG,Mangrove,11.1383586803271,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2013,Fangchenggang,BBG,Mangrove,11.1136732980124,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2014,Fangchenggang,BBG,Mangrove,11.0133503688304,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2015,Fangchenggang,BBG,Mangrove,11.3547867332874,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2016,Fangchenggang,BBG,Mangrove,11.3111610664714,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2017,Fangchenggang,BBG,Mangrove,11.4119145817785,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2018,Fangchenggang,BBG,Mangrove,11.5490736872358,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2019,Fangchenggang,BBG,Mangrove,11.6221824811658,spatial_unit,observed raw wetland area from authoritative panel
