Outcome,Specification,Variable,Coef,SE,p_value,CI_low,CI_high,R2_within,N,N_cities,Cluster,Error
Mangrove,regional_baseline,Temp_Mean_C,0.004751117346494528,0.03014791262230259,0.8749368554459362,-0.05469925624458511,0.06420149093757417,0.0935758492772133,242,11,YRD,
Mangrove,regional_baseline,Precip_Sum_mm,9.396342977671404e-05,4.589630645827052e-05,0.041942849329682286,3.4579078993434646e-06,0.0001844689516540846,0.0935758492772133,242,11,YRD,
Mangrove,regional_baseline,Evap_Sum_mm,-0.00029498209559679345,0.00017978718293018878,0.10243322752697548,-0.0006495146075485664,5.9550416354979476e-05,0.0935758492772133,242,11,YRD,
Mangrove,regional_baseline,MODIS_Urban_Area_sqkm,-0.0002054042192200983,0.00013906947475703237,0.1412590951989614,-0.0004796431800728823,6.88347416326857e-05,0.0935758492772133,242,11,YRD,
Mangrove,regional_baseline,Impervious_sqkm,0.0001701672427991812,0.00025968623493292166,0.51304415695518,-0.00034192272762889196,0.0006822572132272543,0.0935758492772133,242,11,YRD,
Mangrove,regional_baseline,Unified_NTL_Index,0.0022560164610608223,0.0042706471331667335,0.597906775601547,-0.006165514101377308,0.010677547023498954,0.0935758492772133,242,11,YRD,
Mangrove,regional_baseline,GDP_per_capita,9.783723781787716e-08,6.127128603562748e-07,0.8732960772487313,-1.1104058969088896e-06,1.3060803725446441e-06,0.0935758492772133,242,11,YRD,
Mangrove,regional_baseline,Secondary_GDP_Share,0.0008990849792438857,0.003452157572712032,0.7947925516384777,-0.005908419738053854,0.007706589696541626,0.0935758492772133,242,11,YRD,
Mangrove,regional_baseline,Total_Population,4.487648734198203e-08,8.29678147653578e-08,0.589188119436556,-1.1873243794683254e-07,2.0848541263079662e-07,0.0935758492772133,242,11,YRD,
Mangrove,regional_baseline,Pop_Density,-0.00023791877302254425,0.0004857933761033117,0.6248481340080225,-0.0011958822001836233,0.0007200446541385347,0.0935758492772133,242,11,YRD,
Mangrove,regional_baseline,Cropland_sqkm,6.904565010484209e-06,0.00027886818338610447,0.9802718105304384,-0.0005430113742013426,0.000556820504222311,0.0935758492772133,242,11,YRD,
Tidal_Flat,regional_baseline,Temp_Mean_C,-0.00445138366737284,0.054874260125205014,0.9354877664120793,-0.11314673193587647,0.10424396460113079,-1.8146970770732906,154,7,BBG,
Tidal_Flat,regional_baseline,Precip_Sum_mm,-2.0683386350746065e-05,2.947244533708382e-05,0.4842297218125329,-7.906262832921445e-05,3.769585562772232e-05,-1.8146970770732906,154,7,BBG,
Tidal_Flat,regional_baseline,Evap_Sum_mm,-0.0005462672800770618,0.00016861275541116264,0.0015644079252972176,-0.0008802566975218018,-0.00021227786263232188,-1.8146970770732906,154,7,BBG,
Tidal_Flat,regional_baseline,MODIS_Urban_Area_sqkm,0.0066244289987510705,0.001866396193118044,0.0005604931629388243,0.002927457344735221,0.01032140065276692,-1.8146970770732906,154,7,BBG,
Tidal_Flat,regional_baseline,Impervious_sqkm,1.4278458881958795e-05,0.00029054149905469173,0.9608895501227135,-0.000561228333449209,0.0005897852512131265,-1.8146970770732906,154,7,BBG,
Tidal_Flat,regional_baseline,Unified_NTL_Index,0.00533403321771501,0.010750641060716564,0.6207288255848975,-0.015960917667053688,0.02662898410248371,-1.8146970770732906,154,7,BBG,
